FileName,Type,Group,Instance,TGIType,TGISubtype,Message
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0x21BCAEB1,EXMP,EXEMPLAR,missing property: ExemplarType
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0xA1BD424F,EXMP,EXEMPLAR,missing property: ExemplarType
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0x41BCC692,EXMP,EXEMPLAR,missing property: ExemplarType
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0x7FA3FE66,EXMP,EXEMPLAR,missing property: ExemplarType
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0x7FA3FD77,EXMP,EXEMPLAR,missing property: ExemplarType
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0xDFA3FD67,EXMP,EXEMPLAR,missing property: ExemplarType
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0x3FA3FDE4,EXMP,EXEMPLAR,missing property: ExemplarType
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0x9FA3FCBC,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xA88DD30D,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x08C9680B,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x88F1BD20,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xC8F2CC1D,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xC8F2D1A5,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xC8F2CC4D,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x8868FACB,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x688DD1E7,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x88A91DD4,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x08A91E7E,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x2A5638AC,EXMP,EXEMPLAR,missing property: ExemplarType
